Category,Name,Price,Stars,Subcategory,Best Seller
Lips,Jelly Wow Tinted Lip Oil-Stay True,$4.99,4.5,Lip Gloss,0
Lips,Lip Rules Liner & Gloss Pen-By The Book,$5.49,0.0,Lip Gloss,0
Lips,Matte Allure Mini Liquid Lipstick Set - After The Moment,$8.99,5.0,Lipstick,0
Lips,Mega Lip Stacks-Brown-Brownie Stack,$5.49,4.7,Lipstick,0
Lips,Ember Rose Immortal Love Nourishing Lip Gloss-Amor,$5.99,5.0,Lip Gloss,0
Lips,Just Kissed Lipstick Crayon-Red Velvet,$4.99,0.0,Lipstick,0
Lips,Everlasting Love Liquid Lipstick-Emily,$5.99,5.0,Lipstick,0
Lips,Pout Pillow Cushion Matte Liquid Lipstick-Catching Z's,$5.49,0.0,Lipstick,0
Lips,Matte Allure Liquid Lipstick-True FaIth,$5.99,4.9,Lipstick,0
Lips,Power Bouquet Lip Gloss -Power Petals Shiny Tinted Moisturizing Lip Gloss Plumping Non-Sticky Lip Oil Repairing Cherry Blossom Extract Lip Care Christmas Winter Rosa Lip Gloss Easter Mother'S Day Graduation Birthday Holiday Winter Y2K Fancy Fashion Makeup Cosmetic Party Beach Travel Camping Outdoors School Campus Trip Festivals Decor Gift Present Rose Girl Cosplay Best Color Charm Vibe,$4.99,0.0,Lip Gloss,0
Lips,Lip Rules Liner & Gloss Pen-Play Fair 2-In-1 Moisturizing Liquid Lipstick Dewy High Pigment Lipliner Lip Combo Hydrating Reduce Lip Fine Lines Lip Makeup Easter Mother'S Day Graduation Birthday Holiday Winter Y2K Fancy Fashion Makeup Cosmetic Party Beach Travel Camping Outdoors School Campus Trip Festivals Decor Gift Present Rose Girl Cosplay Best Color Charm Vibe,$5.49,0.0,Lipstick,0
Lips,Pout-Perfect Shine Lip Plumper-Sepia Kiss Moisturizing Plumping Solid Lip Gloss Non-Stick Nourishing Lip Plumping Serum Coconut Oil Lipstick Lip Cosmetics Christmas Gift Brown Lip Plumper Easter Mother'S Day Graduation Birthday Holiday Winter Y2K Fancy Fashion Makeup Cosmetic Party Beach Travel Camping Outdoors School Campus Trip Festivals Decor Gift Present Rose Girl Cosplay Best Color Charm Vibe,$5.99,0.0,Lipstick,0
